NR_ZONA,n_locais,n_universidade,n_progressista,n_prestigio,n_internacional,n_cultural_progressista,indice_cultural
1,26,3,3,2,0,8,30.76923076923077
14,31,3,4,1,0,8,25.806451612903224
15,35,4,4,0,0,8,22.857142857142858
11,16,0,0,0,2,2,12.5
9,33,1,2,0,0,3,9.090909090909092
19,30,1,1,0,0,2,6.666666666666667
10,34,1,1,0,0,2,5.88235294117647
5,47,1,1,0,0,2,4.25531914893617
8,38,1,0,0,0,1,2.631578947368421
3,20,0,0,0,0,0,0.0
2,31,0,0,0,0,0,0.0
13,29,0,0,0,0,0,0.0
6,51,0,0,0,0,0,0.0
4,21,0,0,0,0,0,0.0
16,57,0,0,0,0,0,0.0
17,33,0,0,0,0,0,0.0
18,38,0,0,0,0,0,0.0
20,18,0,0,0,0,0,0.0
21,29,0,0,0,0,0,0.0
