NR_ZONA,RA_DOMINANTE,RA_geobr,pct_dominante,renda_resp_2022,n_resp_total,n_setores
1,Asa Sul,Plano Piloto,73.3,13282.212195273125,85511.0,462
2,Paranoa,Paranoá,27.8,2446.130536915866,21549.0,140
3,Ceilandia,Ceilândia,100.0,2797.042852508285,100487.0,550
4,Santa Maria,Santa Maria,85.7,2991.8629586186994,38109.0,216
5,Sobradinho I,Sobradinho,6.4,5677.158162633423,24546.0,152
6,Planaltina,Planaltina,11.8,2605.962287250976,59683.0,354
8,Ceilandia,Ceilândia,97.4,2797.042852508285,100487.0,550
9,Estrutural,SCIA,15.2,1627.7560543302848,11154.0,52
10,Riacho Fundo I,Riacho Fundo,41.9,3844.0856994998608,14396.0,76
11,Cruzeiro,Cruzeiro,36.4,7727.016098380688,9819.0,50
13,Samambaia,Samambaia,13.8,3156.5272995651544,75199.0,362
14,Asa Norte,Plano Piloto,81.8,13282.212195273125,85511.0,462
15,Aguas Claras,Águas Claras,13.2,11321.706194127062,53738.0,250
16,Ceilandia,Ceilândia,15.8,2797.042852508285,100487.0,550
17,Gama,Gama,36.4,4463.691496171998,47675.0,261
18,Lago Sul,Lago Sul,23.1,19529.09604866601,8096.0,48
19,Vicente Pires,Vicente Pires,13.3,6110.064165338192,30737.0,161
20,Ceilandia,Ceilândia,94.4,2797.042852508285,100487.0,550
21,Recanto das Emas,Recanto das Emas,67.7,2234.3895153258236,37551.0,203
