nr_zona,votos_bolsonaro,votos_ibaneis,votos_lula,votos_leandro,indice_cultural,RA_geobr,renda_resp_2022,ratio_ibaneis_bolso,ratio_lula_bolso,ratio_leandro_ibaneis,diff_lula_bolso_pp,diff_leandro_ibaneis_pp
14,37288.0,28781.0,38685.0,32793.0,25.806451612903224,Plano Piloto,13282.212195273123,0.771856897661446,1.037465136236859,1.1393975191966923,1.8388111565951064,6.515737161789069
21,48310.0,51696.0,31408.0,16220.0,0.0,Recanto das Emas,2234.389515325824,1.0700890084868557,0.6501345477126889,0.31375735066542865,-21.20223788855717,-52.23511396430885
1,28290.0,22367.0,24807.0,21370.0,30.76923076923077,Plano Piloto,13282.212195273123,0.7906327324142807,0.876882290562036,0.9554254034962221,-6.559692638002154,-2.279534490248537
4,42016.0,37772.0,29176.0,17144.0,0.0,Santa Maria,2991.8629586186994,0.898990860624524,0.6944021325209444,0.45388118182780895,-18.0357343521744,-37.56282322091922
20,33496.0,30699.0,22679.0,14040.0,0.0,Ceilândia,2797.042852508285,0.9164974922378791,0.6770659183186052,0.4573438874230431,-19.255896751223858,-37.2359686179843
18,49688.0,45294.0,40231.0,27836.0,0.0,Lago Sul,19529.09604866601,0.9115681854773788,0.8096723554983094,0.614562635227624,-10.517243296744844,-23.872555722685632
5,53331.0,49575.0,38691.0,26199.0,4.25531914893617,Sobradinho,5677.158162633423,0.9295719187714463,0.7254879900995669,0.5284720121028744,-15.909239094999023,-30.8496317998258
17,52849.0,43455.0,38403.0,25594.0,0.0,Gama,4463.691496171998,0.8222482923044901,0.7266551874207648,0.5889771027499713,-15.830885898391273,-25.867137829657203
19,48838.0,44439.0,28649.0,20115.0,6.666666666666667,Vicente Pires,6110.064165338192,0.909926696424915,0.586612883410459,0.45264294876122324,-26.054693045285013,-37.6800817919881
11,30280.0,24907.0,22980.0,19011.0,12.5,Cruzeiro,7727.016098380688,0.822556142668428,0.7589167767503302,0.7632793993656402,-13.706346226060838,-13.425019354251106
8,56290.0,52204.0,39668.0,23800.0,2.631578947368421,Ceilândia,2797.042852508285,0.92741161840469,0.7047077633682715,0.45590376216381884,-17.322161779111696,-37.371717278038005
16,63969.0,60497.0,42147.0,23829.0,0.0,Ceilândia,2797.042852508285,0.9457237099219935,0.6588660132251559,0.393887300196704,-20.564288137509898,-43.483623081849004
2,43272.0,44243.0,35043.0,21241.0,0.0,Paranoá,2446.130536915866,1.022439452763912,0.8098308374930671,0.4800985466627489,-10.507565600459685,-35.126137682487325
6,53659.0,52401.0,42395.0,24487.0,0.0,Planaltina,2605.962287250976,0.9765556570193258,0.7900818129297974,0.46730024236178697,-11.726737043746226,-36.304754968265534
15,68833.0,60443.0,46766.0,36224.0,22.857142857142858,Águas Claras,11321.706194127062,0.8781107898827597,0.6794124911016518,0.5993084393560876,-19.08926547807507,-25.054051537753317
9,53817.0,46059.0,39437.0,29096.0,9.090909090909092,SCIA,1627.7560543302848,0.8558448074028653,0.7327981864466618,0.6317115004667926,-15.420250069702107,-22.57068724635753
10,53169.0,50045.0,32743.0,21649.0,5.88235294117647,Riacho Fundo,3844.0856994998608,0.9412439579454194,0.6158287724049728,0.4325906683984414,-23.775491200297978,-39.60721957207019
3,31509.0,27971.0,19602.0,13391.0,0.0,Ceilândia,2797.042852508285,0.8877146212193342,0.622107969151671,0.47874584390976366,-23.296354992076076,-35.24974614380349
13,61493.0,59785.0,36024.0,20548.0,0.0,Samambaia,3156.5272995651544,0.9722244808352171,0.5858227765761956,0.3436982520699172,-26.117497461980996,-48.842941257017664
