NR_ZONA,NR_LOCAL_VOTACAO,votos_cristovam,endereco,nome,total_validos,share,NM_LOCAL_VOTACAO,lat,lon
15,1449,2776,AVENIDA CASTANHEIRAS LOTE 370,CENTRO UNIVERSITARIO EURO AMERICANO - UNIEURO,25376,10.939470365699874,CENTRO UNIVERSITARIO EURO AMERICANO - UNIEURO,-15.8322424,-48.037452
15,1317,2636,QUADRA 301 ÁREA ESPECIAL S/N,ESCOLA LA SALLE,23338,11.294883880366784,ESCOLA LA SALLE,-15.8274594,-48.013953
15,1414,2355,"AVENIDA PAU BRASIL, LOTE 2 - ÁGUAS CLARAS - DISTRITO FEDERAL",UNIPLAN -CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL,21390,11.009817671809257,UNIPLAN -CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL,-15.8385399,-48.0264639
14,1317,2104,SEPN 707/907,UNICEUB,17380,12.105868814729574,UNICEUB,-15.7669262,-47.8931509
11,1163,1985,"SH/AOS ENTRE AREAS 01/04, LOTE 08, OCTOGONAL",COLEGIO CIMAN,14528,13.663270925110133,COLEGIO CIMAN,-15.8074897,-47.9400829
15,1384,1944,QS 03 RUA 420 LOTE 02,COLEGIO LEONARDO DA VINCI,19604,9.916343603346256,COLEGIO LEONARDO DA VINCI,-15.8477288,-48.0413271
14,1031,1914,SGAN 914 CONJUNTO I,CENTRO EDUCACIONAL LEONARDO DA VINCI,15150,12.633663366336634,CENTRO EDUCACIONAL LEONARDO DA VINCI,-15.7462345,-47.9003217
2,1481,1832,SHIN QL 9/11- AE S/N  LOTE B,COLEGIO E FACULDADE CECAP,11884,15.415684954560755,COLEGIO COC LAGO NORTE,-15.7461065,-47.841181
18,1236,1715,RODOVIA DF 001 KM 27,ESAF- ESCOLA DE ADMINISTRAÇÃO FAZENDÁRIA,14010,12.241256245538901,COLÉGIO OBJETIVO DF - JARDIM BOTÂNICO,-15.8870294,-47.8068157
18,1171,1645,SHIS QI 21 AREA ESPECIAL CONJUNTO 01,ESCOLA DAS NACOES,11362,14.478084844217568,ESCOLA DAS NACOES,-15.8534531,-47.8504287
18,1147,1588,SHIS QI 05 CHACARA 74/79,COLÉGIO PRESBITERIANO MACKENZIE,11912,13.331094694425788,COLÉGIO PRESBITERIANO MACKENZIE,-15.8502719,-47.8973719
11,1139,1562,"EQSW 303/304, SETOR SUDOESTE",CECAN - CENTRO DE ENSINO CANDANGUINHO,10598,14.738629930175504,MAPLE BEAR ( ANTIGO CANDANGUINHO - CECAN ),-15.8007545,-47.9278285
11,1171,1527,"SHCSW/EQSW 301/302, LOTE 02, SETOR SUDOESTE",CASA THOMAS JEFFERSON,10766,14.183540776518669,CASA THOMAS JEFFERSON,-15.7959866,-47.9230214
9,1120,1463,EQ 17/19 AE A,CENTRO EDUCACIONAL 3,14012,10.441050528118756,CENTRO EDUCACIONAL 3,-15.8393197,-47.9755566
15,1465,1398,RUA TAMBORIL LOTE 1,COLEGIO IPÊ ( SOCIEDADE CANDANGA DE EDUCAÇÃO E CULTURA LTDA),12378,11.29423170140572,COLÉGIO MARISTA - ÁGUAS CLARAS,-15.83691175,-48.00788996
9,1295,1337,AREA ESPECIAL 10 LOTE C,FACULDADE PROJEÇÃO- PERTO TERMINAL RODOVIARIO GUARA II,13620,9.816446402349486,FACULDADE PROJEÇÃO- PERTO TERMINAL RODOVIARIO GUARA II,-15.8397279,-47.9661114
18,1104,1324,QUADRA 05 CONJ.A ÁREA ESPECIAL 1,CAIC UNESCO,13118,10.093001982009453,CAIC UNESCO,-15.9019729,-47.7739064
2,1465,1286,SHIN QI 04/06 AE LAGO NORTE,CENTRO DE ENSINO FUNDAMENTAL 01 DO LAGO NORTE,9122,14.09778557333918,CENTRO DE ENSINO FUNDAMENTAL 01 DO LAGO NORTE,-15.7334732,-47.8729548
11,1090,1231,"AOS 06/08,  ÁREA ESPECIAL, OCTOGONAL",ESCOLA CLASSE 08,9176,13.41543156059285,ESCOLA CLASSE 08,-15.8032204,-47.9454231
15,1481,1206,"RUA 14 SUL, LOTE 06",CENTRO EDUCACIONAL SIGMA,10364,11.636433809340023,CENTRO EDUCACIONAL SIGMA,-15.8387381,-48.0190753
10,1155,1186,NUCLEO HABIT. SUL-AE 01 LOT F-PROX  Q17  PARK WAY VARGEM BONITA 71750,CENTRO EDUCACIONAL  VARGEM BONITA,9648,12.292703150912105,CENTRO EDUCACIONAL  VARGEM BONITA,-15.9344729,-47.940947
9,1147,1167,EQ 28/30 AE A,ESCOLA CLASSE 08 (ANTIGO CEF 07),11952,9.7640562248996,ESCOLA CLASSE 08 (ANTIGO CEF 07),-15.8395818,-47.9805457
21,1210,1141,QD 804 ÁREA ESPECIAL 01,CENTRO DE ENSINO FUNDAMENTAL 804 - RECANTO DAS EMAS,12014,9.49725320459464,CENTRO DE ENSINO MÉDIO 804 DO RECANTO DAS EMAS,-15.9202169,-48.0579685
17,1040,1116,LOTE 27/36 A.E. S.CENTRAL LADO OESTE,CENTRO DE ENSINO MEDIO 02,14616,7.635467980295567,CENTRO DE ENSINO MEDIO 02,-16.0149,-48.070045
5,1066,1094,QUADRA 04 AREA ESPECIAL 4,CENTRO DE ENSINO MEDIO 01,11630,9.4067067927773,CENTRO DE ENSINO MEDIO 01,-15.6533186,-47.7986834
15,1457,1083,QS 07 LOTE 1 EPCT - TAGUATINGA SUL,CENTRO EDUCACIONAL CATOLICA DE BRASILIA,13024,8.315417690417691,CENTRO EDUCACIONAL CATOLICA DE BRASILIA,-15.8627607,-48.0330119
19,1210,1081,COL AGRÍCOLA SAMAMBAIA CH 40 LTS 01 E 02,FACULDADE MAUÁ,14410,7.501734906315059,,,
10,1031,1077,2 AVENIDA  AREA ESPECIAL 11,COLEGIO LA SALLE,10810,9.96299722479186,COLEGIO LA SALLE,-15.8687502,-47.9673793
13,1600,1072,QN 401 CONJUNTO D LOTES 01/02,CCI SÊNIOR,14094,7.6060735064566485,CCI SÊNIOR,-15.86692117,-48.09584853
2,1538,1034,CA 06 LOTE A,COLÉGIO DO SOL,9114,11.345183234584157,COLÉGIO DO SOL,-15.7146792,-47.8816472
1,1422,1021,SEPS 704/904 CONJUNTO A,UDF,7946,12.849232318147497,UDF,-15.8028798,-47.8993918
14,1201,1021,SGAN 609 MODULO D,IESB - INSTITUTO DE EDUCACAO SUPERIOR DE BRASILIA,7660,13.328981723237598,IESB - INSTITUTO DE EDUCACAO SUPERIOR DE BRASILIA,-15.7575555,-47.8782928
2,1490,994,SHIN QI 3 CONJUNTO D A.E,COLEGIO INDI BIBIA,7282,13.650096127437516,COLEGIO INDI BIBIA,-15.7296387,-47.8626899
18,1180,983,SHIS QI 07 CONJUNTO 17 LOTE F,INEI / SIGMA - LAGO SUL,6938,14.1683482271548,COLÉGIO NOSSA SENHORA DO PERPÉTUO SOCORRO,-15.8421315,-47.8961035
11,1120,977,"SHCES Q 805, LOTE 02,  ÁREA ESPECIAL, CRUZEIRO NOVO",CENTRO EDUCACIONAL 02,9712,10.059719934102143,CENTRO EDUCACIONAL 02,-15.7965993,-47.9383952
6,1570,966,ÁREA ESPECIAL COND. ARAPOANGA,CENTRO DE ENSINO FUNDAMENTAL ARAPOANGA,7452,12.962962962962962,CENTRO DE ENSINO FUNDAMENTAL ARAPOANGA,-15.640276,-47.6406895
4,1457,962,AVENIDA S/N - RESIDENCIAL SANTOS DUMONT- SANTA MARIA,CENTRO DE ENSINO FUNDAMENTAL SANTOS DUMONT,11030,8.72166817769719,CENTRO DE ENSINO FUNDAMENTAL SANTOS DUMONT,-15.99349104,-47.99758634
11,1031,958,"SRES Q 01, LOTE 05, AREA ESPECIAL, CRUZEIRO VELHO",CENTRO DE ENSINO FUNDAMENTAL 01,9398,10.193658225154287,CENTRO DE ENSINO FUNDAMENTAL 01,-15.7847358,-47.9369161
17,1031,944,EQ 1/2 A.E. SETOR NORTE,CENTRO DE ENSINO FUNDAMENTAL 01 DO GAMA,11692,8.073896681491618,CENTRO DE ENSINO FUNDAMENTAL 01 DO GAMA,-16.0067935,-48.0620946
21,1090,913,QD 802  CONJ 21 AE 01 RECANTO DAS EMAS,CENTRO DE ENSINO FUNDAMENTAL 802 RECANTO DAS EMAS,10318,8.84861407249467,CENTRO DE ENSINO FUNDAMENTAL 802 DO RECANTO DAS EMAS,-15.9236094,-48.0514835
1,1899,912,SGAS 615 MÓDULO C,COLEGIO MARISTA ENSINO MÉDIO,7740,11.782945736434108,COLEGIO MARISTA ENSINO MÉDIO,-15.836891,-47.9167319
14,1074,910,SGAN 606 A/E MODULO A,SIGMA (ANTIGO INEI),8818,10.31980040825584,SIGMA (ANTIGO INEI),-15.7692767,-47.8751467
6,1880,907,COND. NOVA PLANALTINA Q. 01 RUA A ÁREA ESPECIAL,ESCOLA CLASSE 16,7852,11.551197147223636,ESCOLA CLASSE 16,-15.6192448,-47.6812183
