NR_ZONA,crist_2002,crist_2010,crist_2018,total_2002,total_2010,total_2018,share_2002,share_2010,share_2018,var_abs_10_18,var_pct_10_18,var_share_10_18,var_share_02_18,tier
14,68259,56626,20111,180701,138374,140726,37.77455575785413,40.92242762368653,14.290891519690746,-36515,-64.4845124147918,-26.631536103995785,-23.483664238163385,DEFENDER
6,34855,54055,22602,121160,138671,154680,28.767745130406077,38.98075300531474,14.61210240496509,-31453,-58.18703172694478,-24.36865060034965,-14.155642725440988,DEFENDER
1,73752,53295,15092,197441,133536,103351,37.35394370976646,39.910585909417684,14.602664705711604,-38203,-71.68214654282767,-25.30792120370608,-22.751279004054858,DEFENDER
5,39872,52257,19405,130710,132483,160143,30.50416953561319,39.44430606190983,12.117295167444096,-32852,-62.8662188797673,-27.32701089446573,-18.386874368169096,DEFENDER
9,48291,51142,16631,149709,140550,162599,32.25657776085606,36.38705087157595,10.228230185917504,-34511,-67.48073990066872,-26.158820685658448,-22.028347574938557,DISPUTAR
4,31731,47946,13685,128956,132975,111310,24.606067185706753,36.056401579244216,12.294492857784565,-34261,-71.45747299044758,-23.76190872145965,-12.311574327922187,DISPUTAR
17,36234,41722,16195,120667,108775,148184,30.02809384504463,38.35623994484026,10.928980186794796,-25527,-61.18354824792676,-27.427259758045466,-19.099113658249834,DISPUTAR
15,44189,40547,23565,144660,107807,199367,30.546799391677038,37.61073028653056,11.819910015198102,-16982,-41.88226009322515,-25.790820271332457,-18.726889376478937,DISPUTAR
18,0,38008,22245,0,95510,149754,,39.79478588629463,14.854361152289755,-15763,-41.47284782151126,-24.94042473400488,,DEFENDER
19,0,37012,13429,0,102144,132407,,36.235119047619044,10.142213024991126,-23583,-63.71717280881876,-26.09290602262792,,DISPUTAR
3,53023,35826,8676,173615,99637,88582,30.540563891368834,35.95652217549705,9.79431487209591,-27150,-75.78295092949254,-26.16220730340114,-20.746249019272923,ABANDONAR
8,32164,35377,18146,113657,98006,160027,28.299180868754238,36.09676958553558,11.339336486967824,-17231,-48.70678689544054,-24.75743309856776,-16.959844381786414,DISPUTAR
10,22215,35345,14262,89716,101350,141770,24.76146952606001,34.874198322644304,10.059956267193341,-21083,-59.649172443061246,-24.81424205545096,-14.70151325886667,DISPUTAR
11,31261,35118,14132,84645,86858,102057,36.93189201961132,40.43150889958323,13.847163839815005,-20986,-59.758528389999434,-26.584345059768225,-23.084728179796315,DISPUTAR
20,0,34811,9881,0,94871,92403,,36.692983103371944,10.693375756198392,-24930,-71.61529401625923,-25.99960734717355,,ABANDONAR
16,38210,34685,21338,128771,95824,171398,29.67283006266939,36.19656870930039,12.44938680731397,-13347,-38.48061121522272,-23.747181901986416,-17.22344325535542,DEFENDER
2,21356,32251,17526,96126,89409,130323,22.216673948775565,36.07131273138051,13.44812504316199,-14725,-45.65749899227931,-22.62318768821852,-8.768548905613574,DEFENDER
13,31363,31999,16368,159494,97503,157206,19.664062597966065,32.818477380183175,10.411816342887677,-15631,-48.84840151254727,-22.4066610372955,-9.252246255078388,DISPUTAR
12,54908,31508,0,185851,87574,0,29.544097153095763,35.97871514376413,,-31508,-100.0,,,ABANDONAR
21,0,31021,14489,0,94009,128130,,32.997904455956345,11.308046515257942,-16532,-53.29293059540311,-21.689857940698403,,DISPUTAR
7,19032,22929,0,61894,60380,0,30.74934565547549,37.974494865849614,,-22929,-100.0,,,ABANDONAR
