,delta_esq,indice_cultural,renda_resp_2022,log_renda
1,-14.441835082456429,30.76923076923077,13282.212195273123,9.494180990126717
2,-11.289893413925597,0.0,2446.130536915866,7.802262682327565
3,-7.820338525141196,0.0,2797.042852508285,7.936318013967072
4,-10.416749783209745,0.0,2991.8629586186994,8.003651535444694
5,-3.5123743180274474,4.25531914893617,5677.158162633423,8.64420606303161
6,-5.00990616122464,0.0,2605.962287250976,7.865557286072393
8,-8.142843463657169,2.631578947368421,2797.042852508285,7.936318013967072
9,-9.377999168384044,9.090909090909092,1627.7560543302848,7.394957691557319
10,-5.006685436425734,5.88235294117647,3844.0856994998608,8.25429106419647
11,-13.452114740755238,12.5,7727.016098380688,8.9524780513248
13,-4.007735165654331,0.0,3156.5272995651544,8.057227746452414
14,-12.343684730636006,25.806451612903224,13282.212195273123,9.494180990126717
15,-8.172319417739875,22.857142857142858,11321.706194127062,9.334477064262288
16,-8.104675823747467,0.0,2797.042852508285,7.936318013967072
17,-11.732692688177174,0.0,4463.691496171998,8.403731392392524
18,-11.596766132362102,0.0,19529.09604866601,9.87966073752897
19,-12.648450805840536,6.666666666666667,6110.064165338192,8.717692553802511
20,-10.371007271681076,0.0,2797.042852508285,7.936318013967072
21,-3.7949008475243815,0.0,2234.389515325824,7.7117233222308705
