SQ_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NR_PARTIDO,votos,cargo,ano,receita_total,receita_real_2024,votos_por_mil_real,escore,bloco
70000614515,IBANEIS,MDB,15,1676582,Governador,2018,6126225.79,8699240.6218,192.7273968946833,7.01,DIREITA
70001651044,IBANEIS ROCHA,MDB,15,832633,Governador,2022,7055576.95,7972801.9535,104.43417569584561,7.01,DIREITA
70000614410,LEILA DO VÔLEI,PSB,40,467787,Senador,2018,3067994.03,4356551.5226,107.37552340958513,4.05,ESQUERDA
70000625515,IZALCI,PSDB,45,403735,Senador,2018,2988000.0,4242960.0,95.15409054056602,7.11,DIREITA
70001677309,DAMARES ALVES,REPUBLICANOS,10,714562,Senador,2022,3944025.0,4456748.25,160.3325922661214,7.78,DIREITA
70000610837,ERIKA KOKAY,PT,13,89986,Deputado Federal,2018,1094402.13,1554051.0245999997,57.90414766024924,2.97,ESQUERDA
70000614421,PROFESSOR ISRAEL,PV,43,67598,Deputado Federal,2018,697295.3,990159.326,68.26982105302112,5.29,CENTRO
70000614533,CELINA LEÃO,PP,11,31610,Deputado Federal,2018,2220986.25,3153800.4749999996,10.022828092826641,8.2,DIREITA
70000614972,BIA KICIS,PRP,44,86415,Deputado Federal,2018,320714.03,455413.9226,189.75045713721008,,DESCONHECIDO
70000618958,JULIO CESAR,PRB,10,79775,Deputado Federal,2018,1574914.41,2236378.4622,35.67151148536938,,DESCONHECIDO
70000618962,PAULA BELMONTE,PPS,23,46069,Deputado Federal,2018,2500000.0,3550000.0,12.97718309859155,,DESCONHECIDO
70000625528,FLAVIA ARRUDA,PR,22,121340,Deputado Federal,2018,2404000.0,3413680.0,35.5452180637904,,DESCONHECIDO
70000625533,LUIS MIRANDA,DEM,25,65107,Deputado Federal,2018,530718.0,753619.5599999999,86.3923967153931,8.57,DIREITA
70001595679,ERIKA KOKAY,PT,13,146092,Deputado Federal,2022,2628743.63,2970480.3018999994,49.181272101537125,2.97,ESQUERDA
70001595684,PROFESSOR REGINALDO VERAS,PV,43,54557,Deputado Federal,2022,1047038.97,1183154.0361,46.11149379994073,5.29,CENTRO
70001615666,FRED LINHARES,REPUBLICANOS,10,165358,Deputado Federal,2022,604470.01,683051.1113,242.08730102976702,7.78,DIREITA
70001615669,GILVAN MAXIMO,REPUBLICANOS,10,20923,Deputado Federal,2022,1441568.6099999999,1628972.5292999996,12.844292720510769,7.78,DIREITA
70001615670,JULIO CESAR,REPUBLICANOS,10,76274,Deputado Federal,2022,1229546.03,1389387.0139,54.897590978556366,7.78,DIREITA
70001615922,BIA KICIS,PL,22,214733,Deputado Federal,2022,2127425.09,2403990.3516999995,89.32356980890127,7.78,DIREITA
70001615924,FRAGA,PL,22,28825,Deputado Federal,2022,1810000.0,2045299.9999999998,14.093287048354766,7.78,DIREITA
70001650514,RAFAEL PRUDENTE,MDB,15,121307,Deputado Federal,2022,3048153.8200000003,3444413.8166,35.21847445140689,7.01,DIREITA
