NR_ZONA,RA_DOMINANTE,n_match_dominante,n_locais_total,pct_dominante
1,Asa Sul,22,30,73.3
2,Paranoa,10,36,27.8
3,Ceilandia,20,20,100.0
4,Santa Maria,18,21,85.7
5,Sobradinho I,3,47,6.4
6,Planaltina,6,51,11.8
8,Ceilandia,38,39,97.4
9,Estrutural,5,33,15.2
10,Riacho Fundo I,18,43,41.9
11,Cruzeiro,8,22,36.4
13,Samambaia,4,29,13.8
14,Asa Norte,27,33,81.8
15,Aguas Claras,5,38,13.2
16,Ceilandia,9,57,15.8
17,Gama,12,33,36.4
18,Lago Sul,12,52,23.1
19,Vicente Pires,4,30,13.3
20,Ceilandia,17,18,94.4
21,Recanto das Emas,21,31,67.7
